Date,Open,High,Low,Close,Adj Close,Volume,Source
2019-01-02,52736.86,52736.86,50907.45,51264.06,51264.06,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-03,51264.06,51870.9,51135.2,51669.94,51669.94,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-04,51669.94,52202.95,51654.19,52202.95,52202.95,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-07,52202.95,53199.03,51813.74,51959.3,51959.3,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-08,51959.3,52341.52,51959.3,52165.47,52165.47,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-09,52165.47,53222.89,52165.47,53222.89,53222.89,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-10,53222.89,53296.8,52798.75,53271.02,53271.02,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-11,53271.02,53932.13,53271.02,53653.38,53653.38,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-14,53653.38,53653.38,53010.62,53485.59,53485.59,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-15,53485.59,53811.28,53225.86,53533.54,53533.54,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-16,53533.54,53786.74,53400.54,53786.74,53786.74,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-17,53786.74,53814.19,53115.97,53436.21,53436.21,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-18,53436.21,53992.65,53436.21,53731.5,53731.5,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-21,53731.5,54238.08,53731.5,54139.05,54139.05,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-22,54139.05,54139.05,53662.67,54078.37,54078.37,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-23,54078.37,54078.37,53719.94,53915.15,53915.15,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-24,53915.15,53915.15,53435.34,53639.09,53639.09,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-25,53639.09,54221.69,53639.09,54050.23,54050.23,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-28,54050.23,54173.38,53767.47,53767.47,53767.47,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-29,53767.47,54504.57,53767.47,54387.7,54387.7,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-30,54387.7,54426.95,53999.96,54131.67,54131.67,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-01-31,54131.67,54492.73,54100.55,54156.75,54156.75,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-01,54156.75,54242.42,53733.59,53930.14,53930.14,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-04,53930.14,54237.03,53391.83,53391.83,53391.83,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-05,53391.83,54209.41,53391.83,54209.41,54209.41,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-06,54209.41,54732.45,54209.41,54574.28,54574.28,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-07,54574.28,54574.28,53631.81,53888.85,53888.85,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-08,53888.85,54011.46,53244.18,53244.18,53244.18,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-11,53244.18,53783.03,53244.18,53409.14,53409.14,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-12,53409.14,54050.76,53409.14,53960.51,53960.51,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-13,53960.51,54639.06,53781.38,54543.22,54543.22,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-14,54543.22,54964.88,54372.01,54527.11,54527.11,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-15,54527.11,54660.03,53974.83,54628.41,54628.41,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-18,54628.41,55307.7,54628.41,55259.98,55259.98,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-19,55259.98,55489.59,54900.28,55194.62,55194.62,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-20,55194.62,56039.23,55188.93,55691.58,55691.58,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-21,55691.58,55839.19,55483.79,55483.79,55483.79,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-22,55483.79,56170.03,55483.79,55992.97,55992.97,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-25,55992.97,56327.88,55878.2,55878.2,55878.2,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-26,55878.2,56242.8,55657.86,56242.8,56242.8,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-27,56242.8,56688.63,56109.73,56297.95,56297.95,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-02-28,56297.95,56297.95,55828.79,56002.08,56002.08,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-03-01,56002.08,56526.84,56002.08,56203.11,56203.11,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-03-04,56203.11,56847.12,56198.85,56217.13,56217.13,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-03-05,56217.13,56541.5,55761.64,55815.43,55815.43,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
2019-03-06,55815.43,56376.59,55815.43,56073.86,56073.86,,Yahoo Finance (^J203.JO); 31-Dec-2020 verified from Yahoo table
